Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
Oregon Children's Theatre Company,,17040569,1939 NE Sandy Blvd,Portland,OR,97232,Multnomah,93-1029151,"To guide the theatre's internal equity work, leading to more inclusive programs and statewide access",2018 ,"$30,000 ",one year,5032289571,SA060200 - Theater,SR050000 - Diversity And Intergroup Relations,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,PE000000,TA00 - Cash Grants,Grant,,Building Community,"The mission of Oregon Children's Theatre is to create exceptional theater experiences that transform lives. Our vision is that all children, families and communities have opportunities to learn and grow through theater and the arts."
Oregon Council for the Humanities,Oregon Humanities,17040129,"921 SW Washington Street, Suite 150",Portland,OR,97205,Multnomah,93-0716419,"To implement a statewide strategic plan that calls for strengthening inclusive programming, responding to community needs and building financial sustainability",2018 ,"$150,000 ",two years,5032410543114,SA080000 - Humanities,SR050000 - Diversity And Intergroup Relations,,UA0000 - General Support,Operating Support,,,,,7007708,"PR00001, PA020300, PE000000, PG010000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"Oregon Humanities is committed to bringing people together across difference. Each year, we offer hundreds of public conversations and programs across the state and offer tens of thousands of dollars in grants to organizations that, like us, believe in the power of people in rooms listening, learning, and struggling together. We publish several dozen essays, photographs, films, and audio recordings, in our magazine and on our website, that explore the thoughts, perspectives, and experiences of Oregonians, especially those who have been ignored, generalized, or oppressed.

Our mission is to connect Oregonians to ideas that change lives and transform communities. Our vision is an Oregon that invites diverse perspectives, explores challenging questions, and strives for just communities."
Oregon Environmental Council,,17060680,"222 NW Davis Street, Suite 309",Portland,OR,97209,Multnomah,93-0578714,For a panel presentation at the Capacity Builder Learning Collaborative,2018 ,"$1,000 ",one year,5032221963,SC000010 - Environment Public Policy/Reform,SC000000 - Environment,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,,Grant,,Building Community,"To advance innovative, collaborative solutions to Oregon's environmental challenges for today and future generations."
Oregon Food Bank,,17040327,7900 NE 33rd Drive,Portland,OR,97211,Multnomah,93-0785786,"To build internal organizational capacity relating to equity, implement policy changes and create a client advisory board, and to implement data-driven strategies to increase access to food assistance for underserved populations across the state",2018 ,"$125,000 ",two years,9712301646,SS030601 - Food Banks,SM020000 - Food Security,SR050000 - Diversity And Intergroup Relations,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,7007708,"PG010400, PA020300, PG010000, PE000000, PE060300, PC010000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"The mission of Oregon Food Bank is to eliminate hunger and its root causes... because no one should be hungry. OFB's vision is that everyone shall have ready access to an ample, nutritious, and affordable food supply. Since OFB's founding in 1982, our primary activity is the collection and distribution of emergency food through a statewide network of 21 Regional Food Banks, four operated directly by OFB, and over 970 local hunger-relief agencies."
Oregon Jewish Museum and Center for Holocaust Education,,17040083,724 NW Davis St,Portland,OR,97209,Multnomah,94-3113745,"To develop curricula for two new core exhibitions, ""Discrimination and Resistance, An Oregon Primer"" and ""The Holocaust, An Oregon Perspective,"" revealing the roots of hate and illuminating the values of inclusion and respect",2018 ,"$56,000 ",two years,5032263600,SA070000 - Museums,,,UP0200 - Exhibitions,Project Support,UN0500 - Curriculum Development,Project Support,,,"1002994, 1003044, 1002943, 1002699, 1002636, 1002270","PF020000, PG030200, PE000000, PG010400, PG010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Oregon Jewish Museum and Center for Holocaust Education is to interpret the Oregon Jewish experience, explore the lessons of the Holocaust and foster intercultural conversations.

The Oregon Jewish Museum and Center for Holocaust Education (OJMCHE) is the result of a 2014 merger of Oregon Jewish Museum (founded 1990) and Oregon Holocaust Resource Center (founded 1984)."
Oregon Native American Chamber,,17040306,4445 SW Barbur Blvd.,Portland,OR,97239,Multnomah,26-0302137,To increase this statewide organization's internal capacity to respond to the economic development needs of Native Americans and Native enterprise in Oregon,2018 ,"$29,000 ",one year,5038944525,SN060600 - Entrepreneurship,SN000000 - Community And Economic Development,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"7007708, 2662825, 2085677, 2084832, 2208736, 2440062","PE060300, PG030200, PR00001",TA00 - Cash Grants,Grant,,Building Community,"Oregon Native American Chamber (ONAC) is dedicated to working with all members of the community to advance educational and economic opportunities for Native Americans in Oregon. ONAC is an independent nonprofit unique to Oregon and is not part of a larger or national organization. 

ONAC’s work has been guided by the belief that Native businesses are a foundation for emerging Native economies that would provide employment and educational opportunities and allow our Native communities the opportunity to break the generational cycles of poverty. Today we carry that belief forward and continue to work toward a brighter future with a thriving and connected Native American community that empowers its business leaders with resources, partnerships, and services that ensure their success and supports the aspirations of community members."
Oregon Progress Forum,Bus Project Foundation,18031075,333 SE 2nd Ave,Portland,OR,97214,Multnomah,93-1314754,"For technical assistance to finalize a strategic plan and provide diversity, equity and inclusion training for staff and board members.",2018 ,"$10,000 ",one year,5032333018,SK040100 - Civic Participation,SR050000 - Diversity And Intergroup Relations,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,"PA010400, PA020100",TA00 - Cash Grants,Grant,,Building Community,"The Bus Project mission is making politics accessible and fun for young people, through mobilization, empowerment and building progressive communities while making Oregon a better place for everyone."
Oregon Public Broadcasting,,17040572,7140 SW Macadam Ave,Portland,OR,97219,Multnomah,93-0814638,"For the ""Changing Northwest"" desk, which covers equity, race, identity and opportunities while seeking out diverse sources and centering the perspectives of those whose voices have historically been ignored",2018 ,"$110,000 ",two years,5032931936,SH000000 - Information And Communications,SH040400 - Radio,SR050000 - Diversity And Intergroup Relations,UN0000 - Program Development,Project Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Building Community,"Oregon Public Broadcasting: giving voice to the community, connecting Oregon and its neighbors, illuminating a wider world."
Oregon Public Health Institute,,17050656,411 NE 19th Avenue,Portland,OR,97232,Multnomah,93-1259522,To create a three-year business plan and communications and marketing strategy for this health equity capacity builder that works with organizations and government agencies focused on influencing the social determinants of health and health outcomes,2018 ,"$25,000 ",one year,8004456744,SE130000 - Public Health,,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,"PE000000, PG030200",,Grant,,Building Community,"OPHI's mission is to improve health, advance equity and reduce disparities.

To achieve our mission as a Public Health Institute, we: 
- Work with private and public partners to create innovative and sustainable community-led solutions.
- Believe that long-lasting, meaningful change is possible here in Oregon.
- Advocate use for strategies that advance equity and reduce disparities, whether leading or supporting the work of others.
- Look upstream, downstream, and midstream to identify solutions that go beyond existing healthcare strategies."
Oregon Public Health Institute,,17040472,411 NE 19th Avenue,Portland,OR,97232,Multnomah,93-1259522,For strategic planning and capacity-building among diverse leadership of the Oregon Community Health Worker's Association to effectively manage the organization's growth,2018 ,"$90,347 ",two years,8004456744,SE040200 - Community Health Care,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UE0000 - Leadership And Professional Development,Capacity Building,,,7007708,"PG030200, PE000000, PR00001",TA00 - Cash Grants,Grant,,Building Community,"OPHI's mission is to improve health, advance equity and reduce disparities.

To achieve our mission as a Public Health Institute, we: 
- Work with private and public partners to create innovative and sustainable community-led solutions.
- Believe that long-lasting, meaningful change is possible here in Oregon.
- Advocate use for strategies that advance equity and reduce disparities, whether leading or supporting the work of others.
- Look upstream, downstream, and midstream to identify solutions that go beyond existing healthcare strategies."
Oregon Shakespeare Festival Association,,17040190,Post Office Box 158,Ashland,OR,97520,Jackson,93-0407022,"For comprehensive diversity, equity and inclusion training at this regional repertory theatre in Ashland, to institutionalize a culture of inclusion and equitable practices aimed at better engaging diverse communities in core programming and increasing its impact field-wide",2018 ,"$150,000 ",two years,5414822111,SA060200 - Theater,SR050000 - Diversity And Intergroup Relations,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UE0000 - Leadership And Professional Development,Capacity Building,,,"2084361, 2001711",PE000000,TA00 - Cash Grants,Grant,,Building Community,"Inspired by Shakespeare's work and the cultural richness of the United States, we reveal our collective humanity through illuminating interpretations of new and classic plays, deepened by the kaleidoscope of rotating repertory."
